13:52:07 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:52:07 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:07 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:07 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:07 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:07 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:08 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:08 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:08 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:08 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:09 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:09 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:09 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:10 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:10 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:11 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:11 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:11 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:11 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:11 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:11 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:12 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:12 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:12 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:12 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:12 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
